,Title,Awards,Award_wins,Award_nominated,oscar_nominated,Oscar_Won,Golden_Globe_nominated,Golden_Globe_Won,Primetime_Emmy_nominated,Primetime_Emmys_Won,BAFTA_Film_nominated,BAFTA_Film_won
320,Advent - med budbringeren på job,nan,0,0,0,0,0,0,0,0,0,0
321,Joe Satriani: Live in San Francisco,nan,0,0,0,0,0,0,0,0,0,0
322,Life in the Cage,nan,0,0,0,0,0,0,0,0,0,0
323,All the Russias,nan,0,0,0,0,0,0,0,0,0,0
324,Blood of the Vikings,nan,0,0,0,0,0,0,0,0,0,0
325,Suicide,nan,0,0,0,0,0,0,0,0,0,0
326,Hannibal: The Man Who Hated Rome,1 win.,1,0,0,0,0,0,0,0,0,0
327,Babies: Special Delivery,nan,0,0,0,0,0,0,0,0,0,0
328,Agente 700,nan,0,0,0,0,0,0,0,0,0,0
329,100% Greve,nan,0,0,0,0,0,0,0,0,0,0
330,6ixth Sense with Colin Fry,nan,0,0,0,0,0,0,0,0,0,0
331,7 jours au Groland,nan,0,0,0,0,0,0,0,0,0,0
332,MTV New Years Eve 2001,nan,0,0,0,0,0,0,0,0,0,0
333,20 Years on MTV,nan,0,0,0,0,0,0,0,0,0,0
334,The Great Escape: Preparations for Freedom,nan,0,0,0,0,0,0,0,0,0,0
335,TV Land Legends: The 60 Minutes Interviews,nan,0,0,0,0,0,0,0,0,0,0
336,7 de notícies,nan,0,0,0,0,0,0,0,0,0,0
337,A Racing Car Is Born,nan,0,0,0,0,0,0,0,0,0,0
338,+ Clair,nan,0,0,0,0,0,0,0,0,0,0
339,Venice: Lost and Found,nan,0,0,0,0,0,0,0,0,0,0
340,Boys Will Be Boys,nan,0,0,0,0,0,0,0,0,0,0
341,Damon Blows America Volume 1: Portland Oregon,nan,0,0,0,0,0,0,0,0,0,0
342,Grease 20th Anniversary Re-Release Party,nan,0,0,0,0,0,0,0,0,0,0
343,Dream Girls,nan,0,0,0,0,0,0,0,0,0,0
344,After Midnight,nan,0,0,0,0,0,0,0,0,0,0
345,A Guy and a Girl,1 nomination.,0,0,0,0,0,0,0,0,0,0
346,A Senhora das Águas,nan,0,0,0,0,0,0,0,0,0,0
347,Doble juego,nan,0,0,0,0,0,0,0,0,0,0
348,Agentstvo NLS,nan,0,0,0,0,0,0,0,0,0,0
349,Access Mayor,nan,0,0,0,0,0,0,0,0,0,0
350,Ah yasamak var ya!,nan,0,0,0,0,0,0,0,0,0,0
351,No Escape: Prison Rape,nan,0,0,0,0,0,0,0,0,0,0
352,Allies at War,nan,0,0,0,0,0,0,0,0,0,0
353,Volcanoes,nan,0,0,0,0,0,0,0,0,0,0
354,A pèl,nan,0,0,0,0,0,0,0,0,0,0
355,Casting,nan,0,0,0,0,0,0,0,0,0,0
356,Promise Land,1 win & 1 nomination.,1,0,0,0,0,0,0,0,0,0
357,Alejo y Valentina,nan,0,0,0,0,0,0,0,0,0,0
358,Acosada,nan,0,0,0,0,0,0,0,0,0,0
359,2020 Vision,nan,0,0,0,0,0,0,0,0,0,0
360,Binomio. Los siameses españoles,nan,0,0,0,0,0,0,0,0,0,0
